================================================================
BIO-REACTOR LSTM MODEL PERFORMANCE REPORT
================================================================

STATE VARIABLE       | MSE (Mean Sq. Error) | MAE (Mean Abs. Error) | R2 Score  
1.0244     | 0.011576        | 0.011578        | 0.000002       
1.0324     | 0.011574        | 0.011577        | 0.000003       
1.0404     | 0.011573        | 0.011576        | 0.000003       
1.0484     | 0.011571        | 0.011576        | 0.000004       
1.0564     | 0.011570        | 0.011575        | 0.000005       
1.0644     | 0.011569        | 0.011574        | 0.000006       
1.0724     | 0.011568        | 0.011574        | 0.000006       
1.0804     | 0.011567        | 0.011574        | 0.000007       
1.0884     | 0.011566        | 0.011574        | 0.000008       
1.0964     | 0.011565        | 0.011573        | 0.000009       
1.1044     | 0.011564        | 0.011574        | 0.000009       
1.1124     | 0.011564        | 0.011574        | 0.000010       
1.1204     | 0.011563        | 0.011574        | 0.000011       
1.1285     | 0.011563        | 0.011574        | 0.000011       
1.1365     | 0.011563        | 0.011574        | 0.000012       
1.1445     | 0.011563        | 0.011575        | 0.000012       
1.1525     | 0.011563        | 0.011575        | 0.000013       
1.1605     | 0.011563        | 0.011576        | 0.000013       
1.1685     | 0.011564        | 0.011577        | 0.000013       
1.1765     | 0.011564        | 0.011577        | 0.000013       
1.1845     | 0.011565        | 0.011578        | 0.000013       
1.1925     | 0.011566        | 0.011579        | 0.000013       
1.2005     | 0.011566        | 0.011580        | 0.000014       
1.2085     | 0.011567        | 0.011581        | 0.000014       
1.2165     | 0.011568        | 0.011582        | 0.000014       
1.2245     | 0.011570        | 0.011584        | 0.000014       
1.2325     | 0.011571        | 0.011585        | 0.000014       
1.2405     | 0.011572        | 0.011586        | 0.000014       
1.2485     | 0.011574        | 0.011588        | 0.000014       
1.2565     | 0.011576        | 0.011589        | 0.000013       
1.2645     | 0.011578        | 0.011591        | 0.000013       
1.2725     | 0.011580        | 0.011592        | 0.000012       
1.2805     | 0.011582        | 0.011594        | 0.000012       
1.2885     | 0.011584        | 0.011596        | 0.000011       
1.2965     | 0.011587        | 0.011597        | 0.000011       
1.3045     | 0.011590        | 0.011599        | 0.000010       
1.3125     | 0.011593        | 0.011601        | 0.000009       
1.3205     | 0.011596        | 0.011604        | 0.000008       
1.3285     | 0.011599        | 0.011606        | 0.000007       
1.3365     | 0.011602        | 0.011608        | 0.000006       
1.3445     | 0.011606        | 0.011610        | 0.000005       
1.3525     | 0.011610        | 0.011613        | 0.000003       
1.3605     | 0.011614        | 0.011616        | 0.000002       
1.3685     | 0.011618        | 0.011618        | 0.000000       
1.3766     | 0.011622        | 0.011621        | 0.000001       
1.3846     | 0.011627        | 0.011624        | 0.000003       
1.3926     | 0.011632        | 0.011627        | 0.000004       
1.4006     | 0.011637        | 0.011630        | 0.000006       
1.4086     | 0.011642        | 0.011634        | 0.000008       
1.4166     | 0.011646        | 0.011637        | 0.000009       
1.4246     | 0.011651        | 0.011641        | 0.000010       
1.4326     | 0.011656        | 0.011644        | 0.000011       
1.4406     | 0.011661        | 0.011648        | 0.000012       
1.4486     | 0.011665        | 0.011652        | 0.000013       
1.4566     | 0.011671        | 0.011656        | 0.000014       
1.4646     | 0.011676        | 0.011660        | 0.000015       
1.4726     | 0.011681        | 0.011665        | 0.000016       
1.4806     | 0.011686        | 0.011669        | 0.000017       
1.4886     | 0.011691        | 0.011674        | 0.000018       
1.4966     | 0.011697        | 0.011678        | 0.000018       
1.5046     | 0.011702        | 0.011683        | 0.000019       
1.5126     | 0.011708        | 0.011688        | 0.000020       
1.5206     | 0.011713        | 0.011694        | 0.000020       
1.5286     | 0.011719        | 0.011699        | 0.000020       
1.5366     | 0.011725        | 0.011704        | 0.000020       
1.5446     | 0.011730        | 0.011710        | 0.000021       
1.5526     | 0.011736        | 0.011716        | 0.000021       
1.5606     | 0.011742        | 0.011722        | 0.000020       
1.5686     | 0.011748        | 0.011728        | 0.000020       
1.5766     | 0.011754        | 0.011734        | 0.000020       
1.5846     | 0.011759        | 0.011740        | 0.000019       
1.5926     | 0.011765        | 0.011747        | 0.000018       
1.6006     | 0.011771        | 0.011754        | 0.000017       
1.6086     | 0.011777        | 0.011760        | 0.000016       
1.6166     | 0.011783        | 0.011767        | 0.000015       
1.6246     | 0.011788        | 0.011775        | 0.000014       
1.6327     | 0.011795        | 0.011782        | 0.000013       
1.6407     | 0.011801        | 0.011789        | 0.000012       
1.6487     | 0.011808        | 0.011797        | 0.000012       
1.6567     | 0.011816        | 0.011805        | 0.000011       
1.6647     | 0.011823        | 0.011813        | 0.000010       
1.6727     | 0.011830        | 0.011821        | 0.000009       
1.6807     | 0.011837        | 0.011829        | 0.000008       
1.6887     | 0.011845        | 0.011837        | 0.000007       
1.6967     | 0.011852        | 0.011846        | 0.000006       
1.7047     | 0.011860        | 0.011855        | 0.000005       
1.7127     | 0.011868        | 0.011864        | 0.000004       
1.7207     | 0.011876        | 0.011873        | 0.000003       
1.7287     | 0.011884        | 0.011882        | 0.000002       
1.7367     | 0.011892        | 0.011891        | 0.000001       
1.7447     | 0.011901        | 0.011901        | 0.000000       
1.7527     | 0.011909        | 0.011910        | 0.000001       
1.7607     | 0.011918        | 0.011920        | 0.000003       
1.7687     | 0.011926        | 0.011930        | 0.000004       
1.7767     | 0.011935        | 0.011940        | 0.000005       
1.7847     | 0.011944        | 0.011951        | 0.000007       
1.7927     | 0.011953        | 0.011961        | 0.000008       
1.8007     | 0.011962        | 0.011972        | 0.000009       
1.8087     | 0.011972        | 0.011982        | 0.000010       
1.8167     | 0.011981        | 0.011993        | 0.000012       
1.8247     | 0.011991        | 0.012004        | 0.000013       
1.8327     | 0.012001        | 0.012015        | 0.000014       
1.8407     | 0.012011        | 0.012026        | 0.000016       
1.8487     | 0.012021        | 0.012038        | 0.000017       
1.8567     | 0.012031        | 0.012049        | 0.000018       
1.8647     | 0.012042        | 0.012061        | 0.000019       
1.8727     | 0.012053        | 0.012073        | 0.000020       
1.8808     | 0.012064        | 0.012085        | 0.000021       
1.8888     | 0.012075        | 0.012097        | 0.000021       
1.8968     | 0.012087        | 0.012109        | 0.000022       
1.9048     | 0.012098        | 0.012121        | 0.000023       
1.9128     | 0.012110        | 0.012134        | 0.000023       
1.9208     | 0.012122        | 0.012147        | 0.000024       
1.9288     | 0.012135        | 0.012159        | 0.000025       
1.9368     | 0.012147        | 0.012172        | 0.000025       
1.9448     | 0.012160        | 0.012185        | 0.000025       
1.9528     | 0.012173        | 0.012199        | 0.000025       
1.9608     | 0.012187        | 0.012212        | 0.000026       
1.9688     | 0.012200        | 0.012226        | 0.000026       
1.9768     | 0.012214        | 0.012239        | 0.000025       
1.9848     | 0.012228        | 0.012253        | 0.000025       
1.9928     | 0.012242        | 0.012267        | 0.000025       

--- STATE: H2_aq ---
Time (h)   | True            | Pred            | Diff           
------------------------------------------------------------
0.4002     | 1.232490        | 1.232359        | 0.000131       
0.4082     | 1.232419        | 1.232334        | 0.000085       
0.4162     | 1.232346        | 1.232333        | 0.000013       
0.4242     | 1.232273        | 1.232338        | 0.000065       
0.4322     | 1.232198        | 1.232337        | 0.000139       
0.4402     | 1.232122        | 1.232322        | 0.000200       
0.4482     | 1.232045        | 1.232289        | 0.000244       
0.4562     | 1.231967        | 1.232237        | 0.000270       
0.4642     | 1.231887        | 1.232167        | 0.000280       
0.4722     | 1.231806        | 1.232080        | 0.000274       
0.4802     | 1.231724        | 1.231979        | 0.000256       
0.4882     | 1.231640        | 1.231867        | 0.000227       
0.4962     | 1.231555        | 1.231745        | 0.000191       
0.5042     | 1.231468        | 1.231617        | 0.000149       
0.5122     | 1.231380        | 1.231485        | 0.000105       
0.5202     | 1.231290        | 1.231350        | 0.000060       
0.5282     | 1.231200        | 1.231214        | 0.000015       
0.5362     | 1.231107        | 1.231078        | 0.000029       
0.5442     | 1.231013        | 1.230943        | 0.000070       
0.5522     | 1.230918        | 1.230810        | 0.000108       
0.5602     | 1.230821        | 1.230679        | 0.000142       
0.5682     | 1.230722        | 1.230550        | 0.000173       
0.5762     | 1.230622        | 1.230423        | 0.000199       
0.5842     | 1.230521        | 1.230299        | 0.000222       
0.5922     | 1.230417        | 1.230178        | 0.000240       
0.6002     | 1.230312        | 1.230058        | 0.000254       
0.6082     | 1.230205        | 1.229941        | 0.000264       
0.6162     | 1.230096        | 1.229826        | 0.000270       
0.6242     | 1.229985        | 1.229712        | 0.000273       
0.6323     | 1.229872        | 1.229600        | 0.000273       
0.6403     | 1.229758        | 1.229489        | 0.000269       
0.6483     | 1.229642        | 1.229378        | 0.000264       
0.6563     | 1.229524        | 1.229268        | 0.000255       
0.6643     | 1.229404        | 1.229159        | 0.000245       
0.6723     | 1.229282        | 1.229049        | 0.000233       
0.6803     | 1.229158        | 1.228939        | 0.000219       
0.6883     | 1.229032        | 1.228828        | 0.000204       
0.6963     | 1.228904        | 1.228716        | 0.000187       
0.7043     | 1.228774        | 1.228604        | 0.000170       
0.7123     | 1.228642        | 1.228490        | 0.000152       
0.7203     | 1.228507        | 1.228374        | 0.000133       
0.7283     | 1.228370        | 1.228257        | 0.000113       
0.7363     | 1.228231        | 1.228138        | 0.000093       
0.7443     | 1.228089        | 1.228016        | 0.000073       
0.7523     | 1.227945        | 1.227893        | 0.000052       
0.7603     | 1.227799        | 1.227767        | 0.000032       
0.7683     | 1.227650        | 1.227639        | 0.000011       
0.7763     | 1.227499        | 1.227508        | 0.000009       
0.7843     | 1.227346        | 1.227374        | 0.000028       
0.7923     | 1.227189        | 1.227237        | 0.000047       
0.8003     | 1.227031        | 1.227097        | 0.000066       
0.8083     | 1.226870        | 1.226953        | 0.000084       
0.8163     | 1.226706        | 1.226807        | 0.000101       
0.8243     | 1.226539        | 1.226656        | 0.000117       
0.8323     | 1.226370        | 1.226503        | 0.000132       
0.8403     | 1.226198        | 1.226345        | 0.000147       
0.8483     | 1.226024        | 1.226184        | 0.000160       
0.8563     | 1.225846        | 1.226019        | 0.000173       
0.8643     | 1.225665        | 1.225850        | 0.000185       
0.8723     | 1.225481        | 1.225677        | 0.000197       
0.8804     | 1.225294        | 1.225500        | 0.000207       
0.8884     | 1.225104        | 1.225320        | 0.000216       
0.8964     | 1.224910        | 1.225134        | 0.000224       
0.9044     | 1.224714        | 1.224945        | 0.000231       
0.9124     | 1.224514        | 1.224751        | 0.000237       
0.9204     | 1.224311        | 1.224553        | 0.000242       
0.9284     | 1.224105        | 1.224350        | 0.000245       
0.9364     | 1.223895        | 1.224143        | 0.000248       
0.9444     | 1.223682        | 1.223932        | 0.000250       
0.9524     | 1.223465        | 1.223716        | 0.000250       
0.9604     | 1.223245        | 1.223495        | 0.000250       
0.9684     | 1.223021        | 1.223269        | 0.000248       
0.9764     | 1.222793        | 1.223039        | 0.000246       
0.9844     | 1.222561        | 1.222804        | 0.000244       
0.9924     | 1.222325        | 1.222564        | 0.000240       
1.0004     | 1.222085        | 1.222320        | 0.000235       
1.0084     | 1.221841        | 1.222071        | 0.000230       
1.0164     | 1.221593        | 1.221816        | 0.000223       
1.0244     | 1.221341        | 1.221557        | 0.000216       
1.0324     | 1.221085        | 1.221293        | 0.000208       
1.0404     | 1.220824        | 1.221024        | 0.000199       
1.0484     | 1.220559        | 1.220749        | 0.000190       
1.0564     | 1.220290        | 1.220470        | 0.000180       
1.0644     | 1.220016        | 1.220186        | 0.000170       
1.0724     | 1.219738        | 1.219897        | 0.000159       
1.0804     | 1.219455        | 1.219602        | 0.000148       
1.0884     | 1.219167        | 1.219303        | 0.000135       
1.0964     | 1.218875        | 1.218998        | 0.000123       
1.1044     | 1.218578        | 1.218688        | 0.000111       
1.1124     | 1.218276        | 1.218373        | 0.000098       
1.1204     | 1.217968        | 1.218053        | 0.000084       
1.1285     | 1.217656        | 1.217727        | 0.000071       
1.1365     | 1.217339        | 1.217396        | 0.000057       
1.1445     | 1.217017        | 1.217060        | 0.000043       
1.1525     | 1.216689        | 1.216718        | 0.000030       
1.1605     | 1.216356        | 1.216371        | 0.000016       
1.1685     | 1.216017        | 1.216019        | 0.000002       
1.1765     | 1.215673        | 1.215661        | 0.000012       
1.1845     | 1.215324        | 1.215297        | 0.000026       
1.1925     | 1.214968        | 1.214929        | 0.000039       
1.2005     | 1.214604        | 1.214554        | 0.000051       
1.2085     | 1.214235        | 1.214173        | 0.000062       
1.2165     | 1.213860        | 1.213787        | 0.000073       
1.2245     | 1.213478        | 1.213394        | 0.000084       
1.2325     | 1.213090        | 1.212996        | 0.000094       
1.2405     | 1.212695        | 1.212591        | 0.000104       
1.2485     | 1.212294        | 1.212180        | 0.000114       
1.2565     | 1.211885        | 1.211763        | 0.000123       
1.2645     | 1.211471        | 1.211339        | 0.000131       
1.2725     | 1.211049        | 1.210909        | 0.000139       
1.2805     | 1.210620        | 1.210473        | 0.000147       
1.2885     | 1.210184        | 1.210030        | 0.000154       
1.2965     | 1.209741        | 1.209581        | 0.000160       
1.3045     | 1.209290        | 1.209125        | 0.000166       
1.3125     | 1.208832        | 1.208661        | 0.000171       
1.3205     | 1.208366        | 1.208191        | 0.000175       
1.3285     | 1.207893        | 1.207714        | 0.000179       
1.3365     | 1.207412        | 1.207230        | 0.000182       
1.3445     | 1.206923        | 1.206738        | 0.000185       
1.3525     | 1.206426        | 1.206239        | 0.000186       
1.3605     | 1.205920        | 1.205733        | 0.000188       
1.3685     | 1.205407        | 1.205219        | 0.000188       
1.3766     | 1.204885        | 1.204697        | 0.000188       
1.3846     | 1.204354        | 1.204167        | 0.000187       
1.3926     | 1.203815        | 1.203629        | 0.000186       
1.4006     | 1.203267        | 1.203083        | 0.000184       
1.4086     | 1.202710        | 1.202529        | 0.000182       
1.4166     | 1.202142        | 1.201966        | 0.000177       
1.4246     | 1.201565        | 1.201394        | 0.000171       
1.4326     | 1.200978        | 1.200814        | 0.000165       
1.4406     | 1.200382        | 1.200224        | 0.000158       
1.4486     | 1.199775        | 1.199624        | 0.000151       
1.4566     | 1.199159        | 1.199015        | 0.000144       
1.4646     | 1.198532        | 1.198396        | 0.000136       
1.4726     | 1.197895        | 1.197767        | 0.000128       
1.4806     | 1.197248        | 1.197128        | 0.000119       
1.4886     | 1.196590        | 1.196479        | 0.000111       
1.4966     | 1.195921        | 1.195819        | 0.000102       
1.5046     | 1.195241        | 1.195148        | 0.000093       
1.5126     | 1.194550        | 1.194466        | 0.000084       
1.5206     | 1.193848        | 1.193773        | 0.000075       
1.5286     | 1.193135        | 1.193069        | 0.000065       
1.5366     | 1.192410        | 1.192353        | 0.000056       
1.5446     | 1.191673        | 1.191626        | 0.000047       
1.5526     | 1.190924        | 1.190886        | 0.000038       
1.5606     | 1.190163        | 1.190134        | 0.000029       
1.5686     | 1.189390        | 1.189370        | 0.000020       
1.5766     | 1.188605        | 1.188593        | 0.000012       
1.5846     | 1.187807        | 1.187803        | 0.000004       
1.5926     | 1.186996        | 1.187000        | 0.000003       
1.6006     | 1.186173        | 1.186183        | 0.000011       
1.6086     | 1.185336        | 1.185353        | 0.000017       
1.6166     | 1.184486        | 1.184509        | 0.000023       
1.6246     | 1.183622        | 1.183650        | 0.000028       
1.6327     | 1.182743        | 1.182778        | 0.000035       
1.6407     | 1.181848        | 1.181891        | 0.000043       
1.6487     | 1.180938        | 1.180988        | 0.000050       
1.6567     | 1.180014        | 1.180071        | 0.000058       
1.6647     | 1.179074        | 1.179139        | 0.000065       
1.6727     | 1.178120        | 1.178191        | 0.000072       
1.6807     | 1.177150        | 1.177228        | 0.000078       
1.6887     | 1.176164        | 1.176249        | 0.000085       
1.6967     | 1.175162        | 1.175253        | 0.000091       
1.7047     | 1.174145        | 1.174241        | 0.000096       
1.7127     | 1.173111        | 1.173212        | 0.000101       
1.7207     | 1.172060        | 1.172167        | 0.000106       
1.7287     | 1.170993        | 1.171104        | 0.000110       
1.7367     | 1.169909        | 1.170023        | 0.000114       
1.7447     | 1.168807        | 1.168925        | 0.000118       
1.7527     | 1.167688        | 1.167809        | 0.000121       
1.7607     | 1.166551        | 1.166675        | 0.000123       
1.7687     | 1.165397        | 1.165522        | 0.000125       
1.7767     | 1.164223        | 1.164350        | 0.000127       
1.7847     | 1.163032        | 1.163160        | 0.000128       
1.7927     | 1.161822        | 1.161950        | 0.000128       
1.8007     | 1.160592        | 1.160720        | 0.000128       
1.8087     | 1.159344        | 1.159471        | 0.000127       
1.8167     | 1.158076        | 1.158201        | 0.000125       
1.8247     | 1.156788        | 1.156911        | 0.000123       
1.8327     | 1.155480        | 1.155600        | 0.000120       
1.8407     | 1.154152        | 1.154268        | 0.000116       
1.8487     | 1.152802        | 1.152915        | 0.000113       
1.8567     | 1.151428        | 1.151540        | 0.000112       
1.8647     | 1.150033        | 1.150143        | 0.000111       
1.8727     | 1.148615        | 1.148725        | 0.000109       
1.8808     | 1.147175        | 1.147283        | 0.000108       
1.8888     | 1.145713        | 1.145819        | 0.000106       
1.8968     | 1.144227        | 1.144332        | 0.000105       
1.9048     | 1.142719        | 1.142821        | 0.000102       
1.9128     | 1.141187        | 1.141287        | 0.000100       
1.9208     | 1.139631        | 1.139729        | 0.000098       
1.9288     | 1.138050        | 1.138146        | 0.000095       
1.9368     | 1.136446        | 1.136539        | 0.000093       
1.9448     | 1.134816        | 1.134906        | 0.000090       
1.9528     | 1.133161        | 1.133249        | 0.000088       
1.9608     | 1.131481        | 1.131566        | 0.000085       
1.9688     | 1.129774        | 1.129857        | 0.000082       
1.9768     | 1.128042        | 1.128121        | 0.000080       
1.9848     | 1.126283        | 1.126359        | 0.000077       
1.9928     | 1.124497        | 1.124570        | 0.000074       

--- STATE: CO2_aq ---
Time (h)   | True            | Pred            | Diff           
------------------------------------------------------------
0.4002     | 14.637343       | 14.632367       | 0.004976       
0.4082     | 14.637278       | 14.634739       | 0.002539       
0.4162     | 14.637211       | 14.636512       | 0.000699       
0.4242     | 14.637143       | 14.637800       | 0.000657       
0.4322     | 14.637074       | 14.638695       | 0.001620       
0.4402     | 14.637004       | 14.639263       | 0.002259       
0.4482     | 14.636933       | 14.639558       | 0.002624       
0.4562     | 14.636861       | 14.639626       | 0.002764       
0.4642     | 14.636788       | 14.639511       | 0.002723       
0.4722     | 14.636713       | 14.639247       | 0.002534       
0.4802     | 14.636637       | 14.638869       | 0.002232       
0.4882     | 14.636560       | 14.638412       | 0.001852       
0.4962     | 14.636482       | 14.637898       | 0.001416       
0.5042     | 14.636403       | 14.637355       | 0.000952       
0.5122     | 14.636322       | 14.636803       | 0.000481       
0.5202     | 14.636240       | 14.636258       | 0.000018       
0.5282     | 14.636156       | 14.635736       | 0.000420       
0.5362     | 14.636071       | 14.635246       | 0.000825       
0.5442     | 14.635985       | 14.634799       | 0.001186       
0.5522     | 14.635898       | 14.634398       | 0.001500       
0.5602     | 14.635809       | 14.634047       | 0.001763       
0.5682     | 14.635719       | 14.633747       | 0.001972       
0.5762     | 14.635627       | 14.633498       | 0.002129       
0.5842     | 14.635534       | 14.633299       | 0.002235       
0.5922     | 14.635440       | 14.633145       | 0.002294       
0.6002     | 14.635343       | 14.633039       | 0.002305       
0.6082     | 14.635245       | 14.632969       | 0.002276       
0.6162     | 14.635146       | 14.632940       | 0.002206       
0.6242     | 14.635045       | 14.632942       | 0.002102       
0.6323     | 14.634942       | 14.632972       | 0.001970       
0.6403     | 14.634837       | 14.633025       | 0.001812       
0.6483     | 14.634731       | 14.633096       | 0.001635       
0.6563     | 14.634623       | 14.633180       | 0.001444       
0.6643     | 14.634514       | 14.633274       | 0.001240       
0.6723     | 14.634403       | 14.633371       | 0.001031       
0.6803     | 14.634289       | 14.633471       | 0.000819       
0.6883     | 14.634175       | 14.633570       | 0.000605       
0.6963     | 14.634058       | 14.633661       | 0.000397       
0.7043     | 14.633939       | 14.633749       | 0.000190       
0.7123     | 14.633819       | 14.633824       | 0.000005       
0.7203     | 14.633697       | 14.633890       | 0.000193       
0.7283     | 14.633572       | 14.633944       | 0.000372       
0.7363     | 14.633445       | 14.633984       | 0.000539       
0.7443     | 14.633316       | 14.634010       | 0.000694       
0.7523     | 14.633185       | 14.634022       | 0.000837       
0.7603     | 14.633052       | 14.634018       | 0.000966       
0.7683     | 14.632917       | 14.633999       | 0.001082       
0.7763     | 14.632779       | 14.633962       | 0.001182       
0.7843     | 14.632640       | 14.633908       | 0.001269       
0.7923     | 14.632498       | 14.633838       | 0.001340       
0.8003     | 14.632354       | 14.633751       | 0.001397       
0.8083     | 14.632207       | 14.633648       | 0.001441       
0.8163     | 14.632058       | 14.633529       | 0.001470       
0.8243     | 14.631907       | 14.633393       | 0.001486       
0.8323     | 14.631754       | 14.633244       | 0.001490       
0.8403     | 14.631598       | 14.633080       | 0.001483       
0.8483     | 14.631439       | 14.632901       | 0.001462       
0.8563     | 14.631277       | 14.632710       | 0.001432       
0.8643     | 14.631113       | 14.632507       | 0.001394       
0.8723     | 14.630946       | 14.632293       | 0.001346       
0.8804     | 14.630777       | 14.632070       | 0.001293       
0.8884     | 14.630604       | 14.631836       | 0.001232       
0.8964     | 14.630429       | 14.631595       | 0.001166       
0.9044     | 14.630251       | 14.631343       | 0.001092       
0.9124     | 14.630070       | 14.631084       | 0.001015       
0.9204     | 14.629886       | 14.630821       | 0.000935       
0.9284     | 14.629699       | 14.630549       | 0.000851       
0.9364     | 14.629509       | 14.630273       | 0.000764       
0.9444     | 14.629316       | 14.629992       | 0.000676       
0.9524     | 14.629119       | 14.629706       | 0.000587       
0.9604     | 14.628920       | 14.629416       | 0.000497       
0.9684     | 14.628717       | 14.629124       | 0.000407       
0.9764     | 14.628511       | 14.628828       | 0.000317       
0.9844     | 14.628301       | 14.628528       | 0.000227       
0.9924     | 14.628087       | 14.628225       | 0.000138       
1.0004     | 14.627870       | 14.627918       | 0.000048       
1.0084     | 14.627650       | 14.627610       | 0.000039       
1.0164     | 14.627425       | 14.627300       | 0.000125       
1.0244     | 14.627197       | 14.626989       | 0.000208       
1.0324     | 14.626966       | 14.626678       | 0.000288       
1.0404     | 14.626730       | 14.626364       | 0.000367       
1.0484     | 14.626491       | 14.626050       | 0.000441       
1.0564     | 14.626248       | 14.625739       | 0.000508       
1.0644     | 14.626000       | 14.625425       | 0.000575       
1.0724     | 14.625749       | 14.625113       | 0.000635       
1.0804     | 14.625493       | 14.624802       | 0.000692       
1.0884     | 14.625234       | 14.624490       | 0.000744       
1.0964     | 14.624970       | 14.624179       | 0.000791       
1.1044     | 14.624701       | 14.623868       | 0.000833       
1.1124     | 14.624429       | 14.623558       | 0.000871       
1.1204     | 14.624152       | 14.623249       | 0.000902       
1.1285     | 14.623870       | 14.622939       | 0.000931       
1.1365     | 14.623584       | 14.622630       | 0.000954       
1.1445     | 14.623293       | 14.622320       | 0.000973       
1.1525     | 14.622997       | 14.622012       | 0.000985       
1.1605     | 14.622697       | 14.621701       | 0.000996       
1.1685     | 14.622392       | 14.621393       | 0.000999       
1.1765     | 14.622082       | 14.621083       | 0.000998       
1.1845     | 14.621767       | 14.620772       | 0.000994       
1.1925     | 14.621446       | 14.620461       | 0.000985       
1.2005     | 14.621118       | 14.620147       | 0.000972       
1.2085     | 14.620786       | 14.619830       | 0.000956       
1.2165     | 14.620448       | 14.619510       | 0.000938       
1.2245     | 14.620104       | 14.619185       | 0.000919       
1.2325     | 14.619754       | 14.618858       | 0.000896       
1.2405     | 14.619399       | 14.618528       | 0.000871       
1.2485     | 14.619038       | 14.618194       | 0.000844       
1.2565     | 14.618671       | 14.617857       | 0.000814       
1.2645     | 14.618298       | 14.617516       | 0.000782       
1.2725     | 14.617918       | 14.617170       | 0.000748       
1.2805     | 14.617533       | 14.616822       | 0.000710       
1.2885     | 14.617141       | 14.616469       | 0.000671       
1.2965     | 14.616742       | 14.616112       | 0.000630       
1.3045     | 14.616337       | 14.615749       | 0.000588       
1.3125     | 14.615925       | 14.615382       | 0.000543       
1.3205     | 14.615507       | 14.615008       | 0.000499       
1.3285     | 14.615082       | 14.614630       | 0.000452       
1.3365     | 14.614649       | 14.614245       | 0.000404       
1.3445     | 14.614210       | 14.613855       | 0.000355       
1.3525     | 14.613764       | 14.613458       | 0.000306       
1.3605     | 14.613310       | 14.613052       | 0.000258       
1.3685     | 14.612849       | 14.612639       | 0.000209       
1.3766     | 14.612380       | 14.612221       | 0.000160       
1.3846     | 14.611904       | 14.611793       | 0.000112       
1.3926     | 14.611420       | 14.611357       | 0.000064       
1.4006     | 14.610929       | 14.610913       | 0.000015       
1.4086     | 14.610429       | 14.610461       | 0.000032       
1.4166     | 14.609919       | 14.609999       | 0.000080       
1.4246     | 14.609401       | 14.609527       | 0.000126       
1.4326     | 14.608873       | 14.609043       | 0.000170       
1.4406     | 14.608338       | 14.608550       | 0.000212       
1.4486     | 14.607793       | 14.608045       | 0.000252       
1.4566     | 14.607239       | 14.607530       | 0.000291       
1.4646     | 14.606676       | 14.607003       | 0.000327       
1.4726     | 14.606104       | 14.606465       | 0.000361       
1.4806     | 14.605522       | 14.605917       | 0.000395       
1.4886     | 14.604931       | 14.605356       | 0.000425       
1.4966     | 14.604330       | 14.604786       | 0.000455       
1.5046     | 14.603720       | 14.604201       | 0.000482       
1.5126     | 14.603099       | 14.603606       | 0.000507       
1.5206     | 14.602468       | 14.602998       | 0.000530       
1.5286     | 14.601827       | 14.602378       | 0.000551       
1.5366     | 14.601175       | 14.601746       | 0.000570       
1.5446     | 14.600513       | 14.601100       | 0.000587       
1.5526     | 14.599840       | 14.600441       | 0.000601       
1.5606     | 14.599156       | 14.599770       | 0.000613       
1.5686     | 14.598461       | 14.599084       | 0.000623       
1.5766     | 14.597755       | 14.598386       | 0.000631       
1.5846     | 14.597038       | 14.597672       | 0.000635       
1.5926     | 14.596308       | 14.596946       | 0.000637       
1.6006     | 14.595568       | 14.596207       | 0.000639       
1.6086     | 14.594815       | 14.595452       | 0.000637       
1.6166     | 14.594050       | 14.594685       | 0.000634       
1.6246     | 14.593273       | 14.593903       | 0.000629       
1.6327     | 14.592482       | 14.593104       | 0.000623       
1.6407     | 14.591676       | 14.592292       | 0.000616       
1.6487     | 14.590856       | 14.591466       | 0.000610       
1.6567     | 14.590024       | 14.590623       | 0.000599       
1.6647     | 14.589177       | 14.589766       | 0.000588       
1.6727     | 14.588317       | 14.588892       | 0.000575       
1.6807     | 14.587443       | 14.588002       | 0.000560       
1.6887     | 14.586554       | 14.587098       | 0.000544       
1.6967     | 14.585651       | 14.586179       | 0.000528       
1.7047     | 14.584733       | 14.585242       | 0.000509       
1.7127     | 14.583800       | 14.584291       | 0.000491       
1.7207     | 14.582852       | 14.583323       | 0.000471       
1.7287     | 14.581889       | 14.582339       | 0.000450       
1.7367     | 14.580910       | 14.581338       | 0.000428       
1.7447     | 14.579915       | 14.580321       | 0.000406       
1.7527     | 14.578905       | 14.579288       | 0.000384       
1.7607     | 14.577877       | 14.578238       | 0.000361       
1.7687     | 14.576834       | 14.577171       | 0.000337       
1.7767     | 14.575774       | 14.576087       | 0.000313       
1.7847     | 14.574696       | 14.574986       | 0.000290       
1.7927     | 14.573602       | 14.573868       | 0.000266       
1.8007     | 14.572490       | 14.572731       | 0.000241       
1.8087     | 14.571360       | 14.571575       | 0.000215       
1.8167     | 14.570212       | 14.570403       | 0.000191       
1.8247     | 14.569046       | 14.569211       | 0.000165       
1.8327     | 14.567862       | 14.568002       | 0.000140       
1.8407     | 14.566659       | 14.566773       | 0.000114       
1.8487     | 14.565436       | 14.565525       | 0.000089       
1.8567     | 14.564190       | 14.564258       | 0.000068       
1.8647     | 14.562923       | 14.562970       | 0.000047       
1.8727     | 14.561636       | 14.561664       | 0.000027       
1.8808     | 14.560329       | 14.560337       | 0.000008       
1.8888     | 14.559000       | 14.558990       | 0.000010       
1.8968     | 14.557650       | 14.557622       | 0.000028       
1.9048     | 14.556278       | 14.556234       | 0.000044       
